SaleID,PropertyID,SaleDate,SalePrice,LegalReference,SoldAsVacant
16502,49021,2016-05-31,375000.0,20160606-0056978,0.0
16503,50902,2016-06-10,269000.0,20160628-0065653,0.0
16504,35100,2015-07-16,200000.0,20150722-0071870,0.0
16505,4746,2013-06-14,221000.0,20130618-0062210,0.0
16506,53377,2016-08-02,315000.0,20160804-0080881,0.0
16507,18615,2014-07-24,186000.0,20140801-0069191,0.0
16508,31484,2015-05-26,260000.0,20150602-0050958,0.0
16509,9966,2013-11-25,206000.0,20131203-0123022,0.0
16510,4747,2013-06-19,120000.0,20130620-0063508,0.0
16511,4748,2013-06-28,125000.0,20130701-0067663,0.0
16512,10940,2013-12-30,248000.0,20131231-0131097,0.0
16513,36760,2015-08-05,297000.0,20150812-0080804,0.0
16514,21553,2014-09-29,229900.0,20141002-0090951,0.0
16515,21554,2014-09-12,164978.0,20140916-0084974,0.0
16516,31485,2015-05-04,240000.0,20150506-0041536,0.0
16517,50903,2016-06-17,200000.0,20160622-0063713,0.0
16518,42159,2015-12-01,235000.0,20151203-0121824,0.0
16519,12540,2014-02-28,151000.0,20140304-0018275,0.0
16520,47277,2016-04-18,359000.0,20160420-0038356,0.0
16521,6012,2013-07-18,180000.0,20130725-0076836,0.0
16522,54866,2016-09-15,255000.0,20160919-0098538,0.0
16523,13538,2014-03-28,180000.0,20140331-0026050,0.0
16524,54867,2016-09-20,337000.0,20160921-0099274,0.0
16525,1304,2013-03-01,120000.0,20130307-0022656,0.0
16526,14629,2014-04-30,184000.0,20140501-0037040,0.0
16527,54868,2016-09-22,318000.0,20160926-0101047,0.0
16529,7215,2013-08-09,150000.0,20130823-0089145,0.0
16530,36761,2015-08-26,300000.0,20150831-0087758,0.0
16531,3463,2013-05-24,228500.0,20130604-0056495,0.0
16533,31486,2015-05-01,256000.0,20150506-0041373,0.0
16534,4749,2013-06-14,200000.0,20130624-0064799,0.0
16535,2248,2013-04-18,167900.0,20130422-0039833,0.0
16536,25289,2014-12-16,212500.0,20141219-0116552,0.0
16537,56271,2016-10-07,242500.0,20161013-0108351,0.0
16538,17151,2014-06-16,119700.0,20140624-0055054,1.0
16539,52171,2016-07-14,299900.0,20160718-0073277,0.0
16540,17152,2014-06-16,119700.0,20140624-0055054,1.0
16541,47278,2016-04-22,305900.0,20160426-0040763,0.0
16542,17153,2014-06-16,119700.0,20140624-0055054,1.0
16543,42160,2015-12-30,305000.0,20151231-0131476,0.0
16544,17154,2014-06-13,39900.0,20140711-0061028,1.0
16545,42161,2015-12-14,299000.0,20151216-0126682,0.0
16548,10941,2013-12-19,189990.0,20131226-0129689,0.0
16549,20063,2014-08-18,200500.0,20140916-0084655,0.0
16550,36762,2015-08-07,210000.0,20150811-0080433,0.0
16551,18616,2014-07-11,155000.0,20140715-0062186,0.0
16552,29721,2015-04-16,220000.0,20150421-0035425,0.0
16554,43283,2016-01-29,295000.0,20160202-0010038,0.0
16560,39625,2015-10-08,208000.0,20151014-0104446,0.0
16561,26390,2015-01-29,175000.0,20150204-0010448,0.0
16562,25290,2014-12-23,145000.0,20150114-0004103,0.0
16563,7216,2013-08-16,115000.0,20130821-0088188,0.0
16564,33330,2015-06-19,150000.0,20150619-0059053,0.0
16565,13539,2014-03-31,169900.0,20140407-0028734,0.0
16566,12541,2014-02-28,213000.0,20140304-0017974,0.0
16567,28379,2015-03-20,268000.0,20150320-0024393,0.0
16568,45577,2016-03-31,300000.0,20160405-0032411,0.0
16569,2249,2013-04-19,195000.0,20130419-0039388,0.0
16572,29722,2015-04-23,130000.0,20150429-0038200,0.0
16573,49022,2016-05-16,295000.0,20160517-0049335,0.0
16574,25291,2014-12-05,295000.0,20141217-0115364,0.0
16576,31488,2015-05-21,390000.0,20150529-0049695,0.0
16577,14630,2014-04-23,120000.0,20140425-0035102,0.0
16578,40883,2015-11-16,173469.0,20151207-0122827,0.0
16579,22967,2014-10-31,169900.0,20141104-0101675,0.0
16580,7217,2013-08-13,177000.0,20130910-0095356,0.0
16581,8119,2013-09-26,190000.0,20130930-0102191,0.0
16582,40884,2015-11-20,373200.0,20151207-0123107,0.0
16583,28380,2015-03-16,145000.0,20150317-0022790,0.0
16584,44254,2016-02-26,300000.0,20160302-0019940,0.0
16585,10943,2013-12-13,158000.0,20131220-0128717,0.0
16586,13540,2014-03-21,260000.0,20140327-0025347,0.0
16587,9067,2013-10-31,250000.0,20131107-0115581,0.0
16588,22968,2014-10-30,282500.0,20141031-0100897,0.0
16589,20064,2014-08-01,130000.0,20140811-0072048,0.0
16590,31489,2015-05-01,330000.0,20150505-0040980,0.0
16591,7218,2013-08-12,154000.0,20130823-0089109,0.0
16592,40885,2015-11-30,245000.0,20151203-0122003,0.0
16593,49023,2016-05-31,210000.0,20160615-0060698,0.0
16594,6013,2013-07-02,133750.0,20130705-0069489,0.0
16595,50904,2016-06-27,200000.0,20160714-0072200,0.0
16596,4750,2013-06-05,189000.0,20130610-0058900,0.0
16597,45579,2016-03-17,308000.0,20160322-0027012,0.0
16598,1306,2013-03-19,135500.0,20130326-0029479,0.0
16599,6014,2013-07-31,179900.0,20130802-0080741,0.0
16600,31490,2015-05-22,156000.0,20150528-0048884,0.0
16606,1341,2013-03-15,219901.0,20130319-0027293,0.0
16607,14692,2014-04-16,189900.0,20140422-0033327,0.0
16608,23046,2014-10-20,264900.0,20141024-0098055,0.0
16609,26442,2015-01-09,245000.0,20150122-0006276,0.0
16620,8120,2013-09-30,150000.0,20131003-0104037,0.0
16622,28381,2015-03-19,208000.0,20150323-0024636,0.0
16623,18617,2014-07-28,317000.0,20140801-0068812,0.0
16624,14631,2014-04-30,226500.0,20140502-0037310,0.0
16625,40886,2015-11-24,175000.0,20151124-0119364,0.0
16626,47279,2016-04-29,296000.0,20160502-0042965,0.0
16627,18618,2014-07-07,187000.0,20140708-0059893,0.0
16629,9069,2013-10-07,275000.0,20131021-0109815,0.0
16632,13543,2014-03-14,172000.0,20140319-0022600,0.0
16633,24069,2014-11-19,339000.0,20141126-0109391,0.0
16634,14632,2014-04-30,233500.0,20140502-0037317,0.0
16635,8121,2013-09-12,160900.0,20130920-0099181,0.0
16636,42162,2015-12-07,250000.0,20151214-0125560,0.0
16638,18619,2014-07-02,361500.0,20140709-0060346,0.0
16639,8122,2013-09-06,366000.0,20130909-0094992,0.0
16640,39626,2015-10-16,375000.0,20151029-0110092,0.0
16641,11828,2014-01-07,232500.0,20140108-0001922,0.0
16642,26392,2015-01-20,275000.0,20150127-0007669,0.0
16643,31491,2015-05-29,277000.0,20150608-0053634,0.0
16644,26393,2015-01-28,254900.0,20150129-0008498,0.0
16645,38336,2015-09-22,305000.0,20150923-0096523,0.0
16646,56272,2016-10-18,312500.0,20161019-0110502,0.0
16647,13544,2014-03-17,240000.0,20140319-0022648,0.0
16648,308,2013-01-24,241000.0,20130128-0008791,0.0
16651,21640,2014-09-03,275000.0,20140909-0082465,0.0
16652,17231,2014-06-09,216000.0,20140625-0055454,0.0
16653,33448,2015-06-04,215000.0,20150622-0059711,0.0
16654,35216,2015-07-29,360000.0,20150730-0075256,0.0
16655,35217,2015-07-30,255000.0,20150731-0075542,0.0
